training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,34,2025-11-02 17:31:27,3.729996681213379,0,1.4502094268798829,0.7130630016326904,1.382103740801408,3.229996681213379,0.9053890132904052,0.21306300163269043,1.0,1.0,472,467.24,500,500.0,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,35,2025-11-02 17:31:58,3.729996681213379,0,1.6798569869995117,1.8161814212799072,1.3337174229251776,3.229996681213379,1.17538556098938,1.3161814212799072,1.0,0.98,472,466.64,500,498.32,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,36,2025-11-02 17:32:29,3.729996681213379,0,1.594031448364258,1.241086721420288,1.3445231859728848,3.229996681213379,1.0952092456817626,0.7410867214202881,1.0,0.92,472,459.58,500,493.54,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,37,2025-11-02 17:32:59,3.729996681213379,0,2.0038445949554444,2.681117534637451,1.4226738529151217,3.229996681213379,1.5075054931640626,2.181117534637451,1.0,0.94,472,464.56,500,497.78,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,38,2025-11-02 17:33:30,3.729996681213379,0,2.1097025871276855,2.909261703491211,1.4828101283888075,3.229996681213379,1.5605723476409912,2.409261703491211,1.0,0.96,472,463.16,500,496.84,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,39,2025-11-02 17:34:02,3.729996681213379,0,1.911363229751587,2.5452771186828613,1.3863547126238178,3.229996681213379,1.3519146347045898,2.0452771186828613,1.0,1.0,472,466.92,500,500.0,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,40,2025-11-02 17:34:33,3.729996681213379,0,2.125491752624512,2.644463539123535,1.2951300186283932,3.229996681213379,1.5843906021118164,2.144463539123535,1.0,1.0,472,466.72,500,500.0,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,41,2025-11-02 17:35:04,3.729996681213379,0,1.6822221851348877,1.688023567199707,1.460580056050446,3.229996681213379,1.128822078704834,1.188023567199707,1.0,0.98,472,465.38,500,498.16,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,42,2025-11-02 17:35:36,3.859363555908203,0,1.948600263595581,2.678466796875,1.4306503266334523,3.359363555908203,1.3657584762573243,2.178466796875,1.0,1.0,468,466.52,500,500.0,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,43,2025-11-02 17:36:08,3.859363555908203,0,2.023012428283691,2.846954345703125,1.4986436476587262,3.359363555908203,1.4713652515411377,2.346954345703125,1.0,0.98,468,465.94,500,499.66,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,44,2025-11-02 17:36:39,3.859363555908203,0,2.2387053203582763,2.793149471282959,1.2670426056339146,3.359363555908203,1.736405782699585,2.328350067138672,1.0,0.94,468,464.64,500,496.7,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,45,2025-11-02 17:37:10,3.859363555908203,0,2.2531355571746827,2.8092846870422363,1.2691268155166067,3.359363555908203,1.7759651279449462,2.3141469955444336,1.0,0.92,468,460.48,500,492.2,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,46,2025-11-02 17:37:42,3.859363555908203,0,2.2860942268371582,2.932356357574463,1.3570511245783872,3.359363555908203,1.7729164791107177,2.4450864791870117,1.0,0.96,468,463.96,500,496.46,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,47,2025-11-02 17:38:14,3.859363555908203,0,1.7993922138214111,2.2535898685455322,1.4768042183279169,3.359363555908203,1.2818255996704102,1.7535898685455322,1.0,0.98,468,466.22,500,498.1,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,48,2025-11-02 17:38:46,3.859363555908203,0,1.8217103672027588,2.426974058151245,1.4172730921918575,3.359363555908203,1.3041045331954957,1.9269740581512451,1.0,0.96,468,464.88,500,495.04,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,49,2025-11-02 17:39:17,3.859363555908203,0,1.9931337547302246,2.624325752258301,1.423793167779615,3.359363555908203,1.5438496589660644,2.141785144805908,1.0,0.86,468,458.16,500,488.76,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
2,50,2025-11-02 17:39:48,3.859363555908203,0,1.8418695259094238,2.5357980728149414,1.4526574689155873,3.359363555908203,1.3241078853607178,2.0357980728149414,1.0,0.96,468,466.58,500,497.94,3.859363555908203,3.359363555908203,50,500,0.1,0.7,5
